"Backup options","Options de sauvegarde"
Warning,Attention
Cancel,Annuler
Ok,OK
"Insert Widget...","Insérer un widget..."
"No records found.","Aucun élément trouvé."
"Recent items","Articles récents"
"Show all...","Voir tout..."
"Method %s does not exist on jQuery.decorate","La méthode %s n'est pas définie dans jQuery.decorate"
Close,Fermer
"Please wait...","Veuillez patienter..."
Loading...,"En cours de chargement..."
"All ","Tout "
more,plus
Save,Sauvegarder
Translate,Traduire
Submit,Valider
"Please enter a value less than or equal to %s.","Veuillez renseigner une valeur inférieure ou égale à %s."
"Please enter a value greater than or equal to %s.","Veuillez renseigner une valeur supérieure ou égale à %s."
"Maximum length of this field must be equal or less than %1 symbols.","Ce champ est limité à %1 caractères."
"This is a required field.","Ce champ est obligatoire."
"Please enter a date between %min and %max.","Veuillez renseigner une date comprise entre %min et %max."
"Please enter a valid year (1900-%1).","Veuillez saisir une année valide (1900-%1)."
"Please enter a valid day (1-%1).","Veuillez saisir un jour valide (1-%1)."
"Please enter a date from the past.","Merci de renseigner une date antérieure."
