"Default Config","Configuration par défaut"
"Save Config","Sauvegarder la configuration"
[GLOBAL],[GLOBAL]
[WEBSITE],"[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"Use Default","Utiliser la valeur par défaut"
"Use Website","Valeur du site web"
Add,Ajouter
"Delete File","Supprimer le fichier"
"Design Theme","Theme de design"
Enable,Activer
Disable,Désactiver
Configuration,Configuration
System,Système
"Page not found.","Page introuvable."
"Please specify the admin custom URL.","Spécifiez l'URL d'admin personnalisée."
"Selected allowed currency ""%1"" is not available in installed currencies.","La devise autorisée choisie ""%1"" n'est pas disponible dans les devises installées."
"Default display currency ""%1"" is not available in allowed currencies.","La devise d'affichage par défaut ""%1"" n'est pas disponible dans les devises autorisées."
"We can't save the Cron expression.","Impossible de sauvegarder l'expression de la tâche programmée."
"The base directory to upload file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"Default scope","Portée par défaut"
"Base currency","Devise de base"
"Display default currency","Afficher la devise par défaut"
"website(%1) scope","portée du site web (%1)"
"store(%1) scope","portée du magasin (%1)"
"Currency ""%1"" is used as %2 in %3.","La devise ""%1"" est utilisée comme %2 dans %3."
"Always (during development)","Toujours (pendant le developpement)"
"Only Once (version upgrade)","Une fois seulement (mise à jour de version)"
"Never (production)","Jamais (en production)"
Bcc,Bcc
"Separate Email","Email séparé"
title,titre
No,Non
Optional,Facultatif
Required,Obligatoire
Website,"Site web"
Store,Magasin
"Store View","Vue magasin"
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Oui (302 Document déplacé de façon temporaire)"
"Yes (301 Moved Permanently)","Oui (301 Document déplacé de façon permanente)"
Yes,Oui
Specified,Spécifié
test,test
"Add after","Ajoutez après"
Delete,Supprimer
"Current Configuration Scope:","Portée de la configuration courante :"
Stores,Magasins
