"Attribute Properties","Propriétés de l'attribut"
"Default label","Libellé par défaut"
"Attribute Code",Code
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Values Required","Valeurs requises"
"Default Value","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Not shared with other products","Non partagé avec les autres produits"
"Input Validation for Store Owner","Validation requise"
Required,Obligatoire
Yes,Oui
No,Non
System,Système
None,Aucun
"Decimal Number","Nombre décimal"
"Integer Number","Nombre entier"
Email,Email
URL,URL
Letters,Lettres
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)"
"Text Field","Champ texte"
"Text Area","Zone de texte"
Date,Date
Yes/No,Oui/Non
"Multiple Select","Sélection multiple"
Dropdown,"Liste déroulante"
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" n'a pas été trouvé dans la liste des types d'entrée."
"Attribute object is undefined","L'objet attribut est indéfini"
"Entity object is undefined","L'objet entité n'est pas défini"
"""%1"" invalid type entered.","Le type de ""%1"" saisi est invalide."
"""%1"" is an empty string.","""%1"" est une chaîne vide."
"""%1"" is not a valid email address.","""%1"" n'est pas un email valide."
"""%1"" is not a valid hostname.","""%1"" n'est pas un nom d'hôte valide."
"""%1"" is not a valid URL.","""%1"" n'est pas une URL valide."
"""%1"" is not a valid date.","""%1"" n'est pas une date valide."
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date saisi."
"""%1"" is a required value.","""%1"" est une valeur obligatoire."
"Please enter a valid date between %1 and %2 at %3.","Veuillez saisir une date valide comprise entre %1 et %2 à %3."
"Please enter a valid date equal to or greater than %1 at %2.","Veuillez saisir une date valide supérieure ou égale à %1 à %2."
"Please enter a valid date less than or equal to %1 at %2.","Veuillez saisir une date valide inférieure ou égale à %1 à %2."
"""%1"" is not a valid file extension.","""%1"" n'est pas une extension de fichier valide."
"""%1"" is not a valid file.","""%1"" n'est pas un fichier valide."
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maxi autorisée pour les fichiers."
"""%1"" is not a valid image format","""%1"" n'est pas un format d'image valide"
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px."
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères."
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères."
"Invalid entity_type specified: %1","entity_type non valide : %1"
"Entity is not initialized","L'entité n'est pas initialisée."
"Unknown parameter","Paramètre inconnu."
"The attribute code '%1' is reserved by system. Please try another attribute code","Le code d'attribut '%1' est réservé par le système. Choisissez-en un autre."
"Invalid default decimal value","Valeur décimale par défaut non valide"
"Invalid default date","Date par défaut non valide"
"Source model ""%1"" not found for attribute ""%2""","Le modèle source ""%1"" n'a pas été trouvé pour l'attribut ""%2"""
"The value of attribute ""%1"" must be unique","La valeur de l'attribut ""%1"" doit être unique."
"Invalid date","Date non valide"
label,libellé
"Invalid entity supplied: %1","L'entité fournie n'est pas valide : %1."
"Attempt to add an invalid object","Tentative d'ajout d'un objet invalide"
"Invalid attribute requested: %1","Attribut non valide exigé : %1"
"Joint field or attribute expression with this alias is already declared","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias."
"Invalid alias, already exists in joint attributes","Alias invalide, déjà utilisé dans les attributs de jointure"
"Invalid foreign key","Clé étrangère invalide."
"Invalid entity type","Type d'entité invalide."
"Invalid attribute type","Type d'attribut invalide"
"Invalid joint fields","Champs de jointure invalides."
"A joint field with this alias (%1) is already declared.","Un champ de jointure a déjà été déclaré avec cet alias (%1)."
"Data integrity: No header row found for attribute","Intégrité des données : aucune ligne d'en-tête trouvée pour l'attribut."
"Invalid attribute name: %1","Nom d'attribut invalide : %1"
"Invalid character encountered in increment ID: %1","Caractère non valide trouvé dans l'ID d'incrément : %1"
"Invalid form type.","Type de formulaire invalide."
"Attribute with the same code","Attribut avec le même code"
"Default option value is not defined","La valeur par défaut de l'option n'est pas définie."
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"Wrong entity ID","Mauvais identifiant d'entité."
"Wrong attribute set ID","Mauvais identifiant de jeu d'attributs."
"Wrong attribute group ID","Mauvais identifiant de groupe d'attributs."
"EAV types and attributes","Types EAV et attributs"
"Entity types declaration cache.","Cache de déclaration des types d'entité."
