"Widget Insertion","Insertion de widget"
"Insert Widget","Insérer un widget"
label,libellé
Choose...,Choisir...
Close,Fermer
"Not Selected","Non sélectionné"
Widget,Widget
"Widget Type","Type de widget"
"-- Please Select --","-- Votre choix --"
"Manage Widget Instances","Gérer les instances de widgets"
"Add Widget","Ajouter un widget"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nouvelle instance de widget"
"Custom Layouts","Mises en page personnalisées"
"Page Layouts","Mises en page"
"Please Select Container First","Merci de sélectionner le conteneur en premier"
"Storefront Properties","Propritétés du front office"
Type,Type
"Design Package/Theme","Interface/Thème de design"
"Widget Title","Titre du widget"
"Assign to Store Views","Assigner à la vue magasin"
"Sort Order","Ordre de tri"
"Sort Order of widget instances in the same container","Ordre de tri des instances de widget dans un même conteneur"
"Layout Updates","Mises à jour d'agencements"
Categories,Catégories
"Anchor Categories","Catégorie ancrée"
"Non-Anchor Categories","Catégories non ancrées"
"All Product Types","Tous les types de produits"
Products,Produits
"Generic Pages","Pages génériques"
"All Pages","Toutes les pages"
"Specified Page","Page spécifiée"
"Add Layout Update","Ajouter une mise à jour d'agencement"
"Remove Layout Update","Supprimer la mise à jour d'agencement"
"Widget Options","Options du widget"
Settings,Paramétrage
"Design Theme","Thème de design"
Continue,Continuer
"Please specify a Widget Type.","Merci de spécifier un type de widget."
CMS,CMS
"Please specify a correct widget.","Merci de spécifier un widget valide."
"The widget instance has been deleted.","L'instance de widget a bien été effacée."
"New Widget","Nouveau widget"
Widgets,Widgets
"The widget instance has been saved.","L'instance de widget a bien été sauvegardée."
name,nom
description,description
"We cannot create the widget instance because it is missing required information.","Impossible de créer l'instance du widget car il manque des informations requises."
None,Aucun
%1,%1
Container,Container
Template,Gabarit
All,Tous
"Specific %1","Spécifique à %1"
"Open Chooser","Ouvrir le sélecteur"
Apply,Appliquer
Page,Page
"Orders and Returns","Commandes et retours"
"Orders and Returns Search Form","Formulaire de recherche de commandes et retours"
"Anchor Custom Title","Présenter un titre personnalisé"
"CMS Page Link Block Template","Gabarit du bloc lien page CMS"
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS"
"Display a Link to Loading a Spreadsheet","Afficher un lien pour charger une feuille de calcul"
"Defines whether a link to My Account","Détermine l'affichage d'un lien vers ""Mon Compte"""
"Link Text","Texte du lien"
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien ""Mon Compte"" &gt; ""Commande par SKU"""
"Load a list of SKUs","Charge une liste de SKUs"
Product,Produit
"Select Product...","Choisir un produit..."
Conditions,Conditions
"Widget ID","ID de widget"
